"","state","date","newcase","aggcase","newdeath","aggdeath","avgtraffic","uninsured","station","park","grocery","workplace","residential","SAHdate","density","pop","region","SAHduration","order_placed","death_rate","infect_rate","policy"
"1","Alabama",2020-03-13,0,6,0,0,222.887080146,105042,0.333333333333333,16.8,35.6,-0.6,0.2,2020-04-04,97,4908621,"South",0,"N",0,0.000122233922724936,NA
"2","Alabama",2020-04-09,339,2838,11,78,71.6384377501515,435104,-28.1304347826087,5.91666666666667,-2.19354838709677,-37.6969696969697,16.7241379310345,2020-04-04,97,4908621,"South",6,"Y",2.74841437632135,0.0578166454488949,"Medium"
"3","Alabama",2020-03-23,36,196,0,0,111.542486638333,300215,-21,-17.7272727272727,-7.83333333333333,-30.5416666666667,14.3,2020-04-04,97,4908621,"South",0,"N",0,0.00399297480901459,NA
"4","Alabama",2020-03-19,24,78,0,0,144.172068512,255237,-5.77777777777778,25.875,15.9333333333333,-26.6666666666667,10.8666666666667,2020-04-04,97,4908621,"South",0,"N",0,0.00158904099542417,NA
"5","Alabama",2020-04-14,148,3953,10,114,71.2382053097015,438049,-22.6818181818182,3.58333333333333,-5.57142857142857,-34.7761194029851,14.9333333333333,2020-04-04,97,4908621,"South",11,"Y",2.88388565646345,0.0805317827552789,"Medium"
"6","Alabama",2020-03-15,8,23,0,0,179.35818466375,152693,5.25,16.3333333333333,17.625,-5.25,2.5,2020-04-04,97,4908621,"South",0,"N",0,0.00046856337044559,NA
"7","Alabama",2020-04-18,151,4723,-4,147,71.2382053097015,438049,-25.1428571428571,12.5,0.722222222222222,-22,9.21052631578947,2020-04-04,97,4908621,"South",15,"Y",3.11242854118145,0.0962184695049791,"Loose"
"8","Alabama",2020-03-20,23,106,0,0,119.8003366985,280422,-13.8181818181818,9,8.3,-27.6,13.7777777777778,2020-04-04,97,4908621,"South",0,"N",0,0.00215946596814054,NA
"9","Alabama",2020-05-02,317,7611,-1,288,71.2382053097015,438049,-7.52380952380952,44.4444444444444,13.6857142857143,-17.1320754716981,5.4,2020-04-04,97,4908621,"South",29,"Y",3.78399684666929,0.155053730976582,"Loose"
"10","Alabama",2020-03-14,5,12,0,0,200.238805101667,124161,13.5,62.2,29.6666666666667,4.66666666666667,0.166666666666667,2020-04-04,97,4908621,"South",0,"N",0,0.000244467845449873,NA
"11","Alabama",2020-04-26,208,6421,6,219,71.2382053097015,438049,-26.6818181818182,19.7692307692308,-3.7,-28.06,8.5625,2020-04-04,97,4908621,"South",23,"Y",3.41068369412864,0.130810669636136,"Loose"
"12","Alabama",2020-03-27,94,639,1,4,79.3615545460378,408971,-23.3,42.0769230769231,-0.94,-32.3018867924528,14.6551724137931,2020-04-04,97,4908621,"South",0,"N",0.625978090766823,0.0130179127702057,NA
"13","Alabama",2020-04-25,187,6213,4,213,71.2382053097015,438049,-22.0952380952381,16.9,1.74285714285714,-20.377358490566,8.8,2020-04-04,97,4908621,"South",22,"Y",3.42829550941574,0.126573226981672,"Loose"
"14","Alabama",2020-03-16,6,29,0,0,179.35818466375,152693,-3,24.2857142857143,22.75,-14.125,5.375,2020-04-04,97,4908621,"South",0,"N",0,0.000590797293170526,NA
"15","Alabama",2020-04-24,194,6026,12,209,71.2382053097015,438049,-23.9166666666667,35.1538461538462,-0.138888888888889,-33.2089552238806,15.1034482758621,2020-04-04,97,4908621,"South",21,"Y",3.46830401593097,0.122763603056744,"Medium"
